"CNY","EUR","JPY","GBP","CAD","AUD","G_USD"
8.2778,0.9181,108.87,1.5149,1.4873,0.5797,276.15
8.2777,0.9123,109.42,1.5076,1.4858,0.573,275.45
8.2772,0.9033,109.45,1.4988,1.487,0.5756,275.65
8.2768,0.895,109.39,1.4935,1.4971,0.5682,273.35
8.2773,0.8931,108.73,1.4817,1.4975,0.5704,273.35
8.2768,0.8987,106.7,1.4865,1.4955,0.5735,274.25
8.277,0.9045,107.05,1.4925,1.4969,0.5734,275.65
8.2768,0.9056,106.7,1.4747,1.506,0.5738,274.25
8.2769,0.9067,107.67,1.4765,1.5102,0.5708,273.55
8.2773,0.913,107.51,1.4672,1.5045,0.5698,270.3
8.2771,0.9318,107.05,1.4888,1.5038,0.5736,272.25
8.2772,0.9315,106.63,1.4972,1.507,0.5765,273.2
8.2773,0.9357,107.81,1.4979,1.4959,0.5726,272.1
8.2771,0.9331,108.64,1.4938,1.4892,0.5721,272.8
8.2771,0.9416,108.23,1.5059,1.4772,0.5787,281.15
8.277,0.9481,107.63,1.5188,1.4772,0.5821,285.45
8.2773,0.9549,105.71,1.5307,1.4751,0.5892,289
8.2773,0.961,105.56,1.523,1.4784,0.5918,286.7
8.2775,0.9563,105.98,1.5103,1.4773,0.5885,284.45
8.2772,0.9534,106.93,1.5083,1.4747,0.5864,283.85
8.2771,0.9532,106.77,1.512,1.4748,0.5908,286.8
8.277,0.9603,106.85,1.5084,1.4685,0.5966,285.75
8.2768,0.9603,106.73,1.5012,1.468,0.5995,291.75
8.2768,0.9532,106.56,1.5113,1.4753,0.6026,289.85
8.2768,0.9652,106.3,1.5155,1.4662,0.6066,289.25
8.2768,0.9588,105.74,1.513,1.4652,0.6023,286.25
8.277,0.9577,105.42,1.5184,1.4701,0.6035,286.15
8.2772,0.9449,105.57,1.4993,1.4733,0.6028,286.15
8.2771,0.9378,104.45,1.5136,1.4762,0.597,285.65
8.2769,0.936,104.65,1.5053,1.4825,0.5943,283.15
8.2773,0.9381,105.65,1.4993,1.4832,0.5968,284
8.2774,0.9464,105.36,1.5047,1.4816,0.6018,286.05
8.2775,0.9428,105.47,1.5116,1.4786,0.6022,292.65
8.278,0.952,105.06,1.5178,1.4828,0.6023,289.25
8.2782,0.9533,106.12,1.5153,1.4801,0.5976,289.52
8.2786,0.9506,105.78,1.5138,1.4806,0.5992,288.35
8.2787,0.9532,107.12,1.5098,1.487,0.5892,284.25
8.2791,0.9506,107.39,1.5079,1.484,0.5906,283.65
8.2793,0.9468,107.8,1.5133,1.4806,0.5911,283.65
8.2795,0.9543,107.17,1.5117,1.4782,0.5922,283.95
8.2794,0.9518,107.05,1.516,1.4776,0.5874,282.55
8.2795,0.9417,108.18,1.5075,1.4805,0.5882,280.6
8.2791,0.9363,108.3,1.5024,1.4807,0.5853,280.25
8.2796,0.9368,107.89,1.4979,1.4836,0.5847,281.3
8.2791,0.9355,108.55,1.4937,1.4812,0.5886,283.6
8.2796,0.9264,108.38,1.4965,1.476,0.5825,282.65
8.2796,0.9229,108.35,1.4973,1.4749,0.576,279.15
8.2796,0.9325,107.55,1.5123,1.4727,0.5829,280.25
8.2795,0.9371,108.68,1.519,1.4712,0.5859,280.35
8.2798,0.9324,108.85,1.5145,1.464,0.5845,279.25
8.2797,0.9378,109.23,1.5175,1.4662,0.5852,279.05
8.2796,0.9411,109.15,1.5145,1.4647,0.5909,279.75
8.2793,0.9328,109.19,1.5137,1.4719,0.5875,278.5
8.2794,0.923,109.65,1.5059,1.4763,0.588,278.38
8.2792,0.9265,109.41,1.4994,1.4875,0.5802,277.25
8.2788,0.9202,109.03,1.4967,1.489,0.579,277.35
8.2791,0.9119,108.89,1.4918,1.4804,0.5831,277.55
8.2796,0.9068,108.4,1.4955,1.4842,0.5852,273.95
8.2798,0.9077,108.52,1.5015,1.49,0.5846,273.5
8.2799,0.9081,109.03,1.5107,1.4873,0.587,273.75
8.2799,0.9015,108.6,1.5039,1.4879,0.5829,273.25
8.2798,0.8984,107.95,1.5006,1.4831,0.5782,272.25
8.2799,0.9075,108.89,1.4963,1.4808,0.5816,272.75
8.2796,0.9032,108.72,1.5022,1.482,0.5795,275.15
8.2795,0.905,109.44,1.5041,1.4847,0.5811,274.8
8.2788,0.9131,109.15,1.5046,1.4843,0.5831,274.65
8.2797,0.9154,108.67,1.499,1.4768,0.591,277.2
8.2799,0.9172,108.53,1.4983,1.4736,0.5929,277.65
8.2797,0.9068,108.48,1.4905,1.4748,0.59,276.65
8.2799,0.9015,108.63,1.4886,1.4766,0.5885,275.25
8.2799,0.8973,108.36,1.483,1.4755,0.5803,273.75
8.2793,0.8996,107.1,1.4849,1.4856,0.5715,271.25
8.2799,0.902,106.79,1.4819,1.4867,0.5727,272.95
8.2799,0.9024,107.05,1.4715,1.4845,0.5741,274.25
8.2799,0.9002,106.43,1.47,1.4828,0.5708,274.15
8.2799,0.8922,106.04,1.4563,1.4855,0.57,273.45
8.2788,0.8925,106.35,1.4588,1.4759,0.5744,274.2
8.2786,0.8875,106.67,1.4507,1.4709,0.5773,277.85
8.2787,0.8984,105.9,1.4612,1.4715,0.5763,276.75
8.279,0.8886,105.79,1.4534,1.4746,0.5691,275.55
8.2794,0.8702,105.86,1.4386,1.4806,0.5648,274.45
8.279,0.8738,105.02,1.4374,1.4764,0.559,273.8
8.2794,0.8694,106.09,1.4202,1.4764,0.5555,273.05
8.2786,0.8584,105.99,1.4083,1.4791,0.5606,273.42
8.2787,0.8626,106.87,1.4059,1.4808,0.558,273
8.2777,0.861,107.1,1.4087,1.4819,0.5553,272.75
8.2773,0.8645,107.52,1.4061,1.4866,0.5495,272.55
8.2771,0.8556,107.22,1.3987,1.4836,0.5458,272.45
8.2772,0.8537,106.91,1.4057,1.4876,0.5422,271.8
8.2779,0.8507,106.9,1.4096,1.4852,0.5431,272.15
8.2775,0.8475,106.57,1.4092,1.4838,0.5375,269.35
8.2778,0.8582,106.63,1.4355,1.486,0.5432,270.65
8.2787,0.8786,107.98,1.4586,1.4885,0.5437,272.15
